URL,Phishing attack,Domain Age,Domain Registration Length,Having IP Address,HTTPS Token,URL Length,URL Shortening,@ Symbol,"Redirecting ""//""",Prefix/Suffix in Domain,Subdomains,SSL Final State,Domain Registration Country,Favicon Hosting,Port,HTTPS in URL,Request URL Ratio,Links in Meta/Script/Link,Server Form Handler (SFH),Submitting to Email,Iframe Redirection,Age of Domain,DNS Record,Website Traffic,PageRank,Content Length,Special Characters in Domain,Email in URL,Sensitive Words in URL,Response Time
https://www.mifnhldccg.com,0,6396,1267,No,No,39,,Yes,No,No,4,Invalid,Russia,Yes,Non-standard,No,,0.020140918,Same Domain,No,Yes,Yes,,91216,5,7610,2,No,0,2150
https://www.srldofsobv.com,0,4843,263,No,No,48,No,No,Yes,No,0,Invalid,USA,No,Standard,No,0.600275661,0.599864506,Same Domain,No,,No,Yes,16711,1,14205,3,No,3,2347
https://www.tvyekixwek.com,0,2904,2905,No,No,14,No,No,No,No,1,Valid,Brazil,No,Standard,No,0.736220818,0.205839034,Same Domain,No,Yes,,Yes,11285,0,14722,,Yes,0,2099
https://www.xlsykvyisc.com,0,474,2514,No,No,76,Yes,Yes,No,Yes,0,Valid,Russia,Yes,Standard,Yes,0.590050379,0.362571612,Empty,Yes,Yes,No,No,11085,2,11236,3,Yes,3,1146
https://www.grcybfawjv.com,1,1082,120,No,Yes,31,Yes,Yes,No,Yes,3,Valid,Brazil,No,Non-standard,No,0.982031931,0.080059365,Same Domain,No,Yes,Yes,No,74267,1,12203,3,No,2,1929
https://www.pmvkuhrdri.com,1,2558,2215,Yes,Yes,37,Yes,No,Yes,,0,Invalid,China,No,Standard,Yes,0.492003311,0.100897217,,Yes,Yes,Yes,,64509,4,8748,0,Yes,3,3102
https://www.tvkwiyguxv.com,0,2047,-166,,No,31,No,No,No,Yes,0,Valid,Russia,No,Non-standard,Yes,0.012468984,0.154439272,Same Domain,Yes,No,Yes,No,41176,5,295,,No,0,2989
https://www.lzccxuxpyz.com,0,2747,5,No,No,95,No,Yes,Yes,Yes,1,Invalid,China,No,Non-standard,No,0.163342543,0.029810649,Different Domain,,Yes,,No,85989,2,264,0,No,0,4621
https://www.bsoultsgqw.com,1,975,,Yes,No,38,No,Yes,Yes,Yes,1,Missing,China,Yes,Standard,Yes,0.964158349,0.762383713,Different Domain,Yes,No,Yes,No,29010,2,2759,4,Yes,3,3517
https://www.ubftdzcisu.com,1,1806,,Yes,No,52,Yes,No,Yes,No,0,Valid,China,Yes,Standard,No,0.469520494,0.906155932,Empty,Yes,Yes,Yes,No,36862,1,298,1,No,3,4932
https://www.iwyyygvngm.com,1,189,2535,No,No,51,Yes,No,No,No,4,Missing,China,Yes,Non-standard,No,0.120521454,0.522142718,Same Domain,Yes,Yes,Yes,,72966,5,10182,4,,3,2636
https://www.dcovzeoxzy.com,0,7101,1106,No,Yes,69,No,No,No,No,1,Invalid,Canada,Yes,Standard,Yes,0.155820164,0.816430496,Different Domain,Yes,No,Yes,No,99077,7,3821,1,Yes,1,4680
https://www.ymgzeezbir.com,0,,-118,No,No,86,No,No,No,Yes,3,Missing,Canada,No,Standard,Yes,0.028949566,0.135553203,Same Domain,Yes,No,,Yes,11595,9,7692,1,Yes,3,477
https://www.tetcnbkqia.com,0,3005,422,No,No,80,Yes,No,No,Yes,4,Valid,USA,Yes,Non-standard,Yes,0.226339531,0.449275463,Different Domain,No,No,No,No,26837,3,4334,0,Yes,4,3788
https://www.gitmnxxboi.com,0,4658,1946,Yes,No,83,No,Yes,Yes,No,0,Valid,Russia,No,Non-standard,No,,0.1429937,Empty,No,Yes,Yes,Yes,91041,5,6642,3,Yes,4,4020
https://www.nmetwyofgy.com,0,1899,2764,No,Yes,77,No,No,No,No,3,Invalid,USA,No,Non-standard,No,0.328815222,0.99528738,Same Domain,No,No,Yes,No,67006,4,1120,0,Yes,0,2840
https://www.bxayeotjpm.com,1,1267,3008,Yes,Yes,68,Yes,Yes,No,Yes,3,Valid,China,No,Standard,No,0.250252066,0.058132283,Same Domain,Yes,No,No,Yes,95837,9,11112,2,,3,187
https://www.suubmplgjh.com,0,6975,1713,No,Yes,95,No,No,Yes,No,4,Missing,USA,Yes,Standard,Yes,0.667621121,0.443994333,Different Domain,Yes,Yes,No,Yes,31654,8,18324,2,No,1,3170
https://www.rtqfprxxtf.com,1,1528,1156,No,Yes,93,Yes,Yes,No,No,0,Missing,Canada,No,Non-standard,No,0.674197799,0.11224966,Different Domain,No,Yes,No,,83913,0,15327,4,No,2,1336
https://www.wjerxhdcmt.com,0,3202,907,No,No,93,Yes,No,Yes,No,3,Valid,Brazil,Yes,Standard,Yes,0.967833557,0.068662676,Empty,Yes,No,No,Yes,73767,4,1551,1,No,0,2076
https://www.rmkvyohjyq.com,1,3556,239,Yes,Yes,15,Yes,Yes,Yes,No,1,Valid,Brazil,No,Non-standard,No,0.729597728,,Empty,Yes,Yes,Yes,No,13862,8,5423,4,Yes,2,3391
https://www.vcymvzvukj.com,0,3890,3483,,Yes,82,No,No,Yes,Yes,1,Invalid,Brazil,Yes,Standard,Yes,0.109966749,0.080127629,Empty,No,No,Yes,No,87781,8,16611,0,Yes,1,4791
https://www.vzsuvjdgwz.com,1,646,2977,No,Yes,37,Yes,Yes,Yes,No,4,,Brazil,Yes,Non-standard,No,0.98559803,0.023954514,Same Domain,Yes,No,No,Yes,,8,1027,1,No,4,2300
https://www.nhjgysturn.com,1,6164,3312,Yes,Yes,86,Yes,No,No,No,,Valid,,Yes,Standard,No,0.75023726,0.949646996,Different Domain,No,Yes,Yes,Yes,11919,3,5385,,No,0,
https://www.sqbysclcdz.com,1,2888,,No,Yes,40,Yes,Yes,Yes,Yes,2,Missing,Russia,Yes,Non-standard,No,0.259216485,0.184765495,Different Domain,Yes,,Yes,No,7265,,19083,4,Yes,2,2778
https://www.bgnsgvuxid.com,0,6310,1052,Yes,No,48,No,Yes,Yes,Yes,0,Invalid,China,No,Non-standard,No,0.261195967,0.844437854,Same Domain,Yes,Yes,Yes,Yes,85858,8,9257,3,Yes,4,4014
https://www.oczfjbxqne.com,0,5393,1455,No,Yes,59,No,Yes,No,No,3,Missing,Canada,Yes,Non-standard,Yes,0.959997234,0.952980704,Same Domain,Yes,Yes,No,,,,16640,,Yes,0,3285
https://www.ueufwpyihh.com,1,2435,136,Yes,Yes,87,No,Yes,Yes,No,3,Invalid,Brazil,Yes,Standard,No,0.192636517,0.751972302,,No,Yes,No,Yes,91504,3,7826,0,No,2,4275
https://www.kopbhqleaq.com,1,600,3298,Yes,Yes,95,Yes,No,Yes,Yes,4,Missing,Russia,,,No,0.227587558,0.103810436,Different Domain,Yes,Yes,Yes,Yes,74088,7,10992,2,Yes,2,4683
https://www.wafgslozof.com,0,2363,3510,Yes,No,46,No,No,No,No,4,,Canada,No,Non-standard,Yes,0.358931284,0.170474104,Same Domain,Yes,No,Yes,No,44798,5,17572,3,Yes,0,3521
https://www.pgtjgtfujm.com,0,2061,2790,No,No,97,No,,Yes,Yes,3,Valid,Brazil,No,Standard,No,0.679471413,0.17913316,Same Domain,Yes,No,,No,43391,7,12437,4,Yes,1,4685
https://www.wyptrunzdv.com,0,241,3071,Yes,No,81,No,No,No,No,1,Valid,China,Yes,Standard,No,0.429724037,0.653941507,Empty,Yes,Yes,No,Yes,45607,3,15681,2,No,3,906
https://www.ullbgemotf.com,0,2041,2568,Yes,No,24,No,Yes,,,4,Invalid,USA,Yes,,No,0.311264166,0.17956514,Empty,,Yes,No,No,50191,2,8486,3,No,1,
https://www.kpjaqgaweu.com,1,2824,183,No,No,60,Yes,No,Yes,No,,Missing,China,No,Standard,No,0.267624188,0.029977139,Empty,No,Yes,Yes,Yes,89476,4,7785,0,No,0,2252
https://www.tpupfxcuye.com,1,2612,1000,Yes,No,79,Yes,No,No,No,4,,China,No,Standard,No,0.125095946,0.458559029,Empty,Yes,Yes,No,,93323,2,11474,4,Yes,0,4202
https://www.qjhexiblqj.com,0,7041,473,No,No,32,Yes,Yes,Yes,No,1,Missing,,Yes,Standard,Yes,0.546255604,0.589076891,Same Domain,No,,Yes,Yes,13005,9,1638,3,Yes,,
https://www.qfxwpgszlp.com,0,1363,1065,No,No,34,Yes,No,No,No,0,Valid,USA,No,Non-standard,Yes,0.273412049,0.4604071,Empty,Yes,No,Yes,No,26671,5,2694,1,Yes,1,3595
https://www.hcypsdeypz.com,1,6235,1083,Yes,Yes,55,Yes,Yes,No,Yes,2,Valid,USA,No,Non-standard,Yes,0.331483106,0.489146455,,No,No,Yes,No,18240,,350,3,Yes,1,2492
https://www.polbyvsixs.com,1,5486,3450,Yes,Yes,32,Yes,No,Yes,Yes,4,Missing,Canada,Yes,Standard,Yes,0.007796268,0.456824469,Empty,No,No,No,Yes,48107,7,17920,1,No,4,3661
https://www.cbnmfzehkz.com,0,7099,2799,No,No,,No,No,Yes,No,0,Valid,Russia,Yes,Standard,Yes,0.531239746,0.265435831,Different Domain,,Yes,Yes,No,84533,2,12352,0,Yes,0,3301
https://www.ditpkwjjrv.com,1,1478,482,Yes,Yes,82,No,No,No,Yes,0,,Canada,No,Standard,Yes,0.696423311,0.955895325,Empty,No,No,No,Yes,91695,5,1533,0,No,1,
https://www.ligqclrvzk.com,0,2556,,Yes,No,86,No,Yes,Yes,Yes,3,Valid,Brazil,Yes,Standard,Yes,0.927533902,,Different Domain,Yes,Yes,Yes,Yes,26533,8,12369,1,No,2,610
https://www.ijkeghqmsc.com,1,775,46,Yes,Yes,41,No,No,Yes,Yes,1,Invalid,USA,Yes,,Yes,0.197126999,0.322852424,Different Domain,Yes,No,Yes,Yes,43854,6,10917,1,Yes,4,1236
https://www.yzlkclriai.com,1,4014,2114,Yes,Yes,60,Yes,,Yes,No,3,Invalid,China,No,Standard,No,0.919362477,0.039672729,Empty,Yes,No,Yes,Yes,86199,3,10818,,Yes,4,746
https://www.rosrfoypej.com,1,34,312,No,,50,Yes,Yes,No,Yes,1,Valid,China,No,Non-standard,No,0.361130566,0.857997486,Different Domain,No,No,Yes,No,96801,1,5649,0,Yes,3,92
https://www.afgoefcnlb.com,1,6349,-207,No,Yes,74,No,No,Yes,Yes,0,Valid,Russia,No,,No,0.80239279,0.742228246,Same Domain,Yes,No,Yes,,12909,3,12167,2,No,2,4261
https://www.ccdvixohso.com,0,3152,1696,Yes,No,74,No,Yes,No,Yes,4,Valid,Brazil,Yes,Non-standard,Yes,0.896802028,0.081249034,Same Domain,No,Yes,Yes,Yes,57141,9,18725,2,Yes,0,158
https://www.utmxfjssob.com,0,1955,7,No,No,49,,No,No,No,1,Missing,Brazil,Yes,Standard,Yes,0.961364539,0.698014676,Same Domain,Yes,Yes,,No,42474,4,19529,0,No,4,4425
https://www.byzymqgqyk.com,1,1585,1907,Yes,Yes,27,No,Yes,No,No,1,Invalid,Canada,No,Standard,Yes,0.325443856,0.452614345,Same Domain,Yes,No,No,Yes,42556,6,9707,0,No,4,2557
,0,3943,3211,Yes,No,45,No,No,Yes,,0,Missing,USA,No,Standard,Yes,0.260453667,0.130351324,Same Domain,No,No,,Yes,6279,6,6884,1,No,1,2221
https://www.mdudzsnmzr.com,1,3073,731,Yes,Yes,40,No,,Yes,No,2,Valid,USA,Yes,Non-standard,Yes,0.4395643,0.724713837,Different Domain,Yes,Yes,Yes,No,22366,4,11005,4,Yes,,1067
https://www.qfkvydmyyb.com,1,1021,2955,Yes,Yes,63,Yes,Yes,Yes,No,0,Valid,Russia,Yes,Standard,No,0.554653395,0.355701543,Different Domain,No,Yes,Yes,Yes,73261,7,6613,4,No,2,4590
https://www.gtcbmqgxzz.com,0,,2193,No,No,72,Yes,Yes,Yes,No,0,Missing,China,No,Non-standard,No,0.690648856,0.910438782,Different Domain,No,No,No,Yes,88073,,14952,0,Yes,2,2285
https://www.ktjwqbdoeb.com,1,2613,237,Yes,No,10,,Yes,Yes,No,1,Valid,Canada,No,Standard,No,0.691877519,0.042887019,Empty,Yes,No,No,Yes,,8,2954,0,,2,490
https://www.hpeukbggdf.com,0,5225,-150,No,No,61,No,No,Yes,Yes,0,Invalid,Russia,,Standard,Yes,0.116649601,0.937326554,Same Domain,Yes,No,No,No,91917,0,17455,2,Yes,2,431
https://www.lduyropgzp.com,1,3843,1631,Yes,No,66,Yes,No,No,No,3,Invalid,USA,Yes,Standard,No,0.611817566,0.087978545,Different Domain,Yes,No,No,No,40764,1,14866,3,Yes,3,2430
https://www.wumnlcnacv.com,0,1500,3308,No,No,18,No,Yes,No,Yes,0,Valid,Canada,No,Non-standard,No,0.167868707,0.03615114,Empty,No,Yes,No,Yes,35267,9,17819,1,Yes,3,4839
https://www.qpkrstgfxm.com,0,4798,1199,No,Yes,95,No,Yes,Yes,Yes,4,Invalid,Brazil,Yes,Non-standard,Yes,,0.581796345,Empty,No,No,No,Yes,40196,8,9916,3,No,1,221
https://www.tjidynnxnh.com,1,6545,1475,,No,99,Yes,Yes,No,No,0,Valid,China,No,Standard,No,0.976580599,0.61055652,Same Domain,No,Yes,No,Yes,91045,0,2083,4,Yes,2,1275
https://www.danvcyvmps.com,1,6873,1597,No,Yes,83,Yes,Yes,No,No,0,Valid,USA,,Standard,No,0.770899826,0.19764893,Different Domain,No,No,,No,23645,,14699,2,No,1,4094
https://www.cgsizoahup.com,1,5675,,Yes,No,65,Yes,No,No,No,4,Valid,USA,Yes,Standard,Yes,0.694735125,0.875987851,Same Domain,No,No,No,No,30779,2,3742,2,Yes,3,2872
https://www.nokghuyimy.com,1,161,2926,No,Yes,56,Yes,No,Yes,Yes,2,,,No,Non-standard,Yes,0.077484629,0.802026291,Empty,Yes,Yes,Yes,Yes,89795,1,8824,2,Yes,2,3248
https://www.vfzychqojw.com,1,4297,2522,Yes,Yes,12,Yes,No,No,No,2,Missing,,Yes,Standard,No,0.184633033,0.282578505,Empty,Yes,Yes,Yes,Yes,,6,14599,4,No,2,2216
https://www.ievazrxhyh.com,1,1981,361,No,Yes,11,Yes,Yes,No,No,2,Invalid,USA,No,Standard,No,0.3552406,0.443075222,Different Domain,Yes,Yes,Yes,No,1262,7,18833,4,No,3,2719
https://www.slzjcihdkp.com,1,995,879,No,Yes,63,Yes,No,No,No,3,Invalid,USA,No,Non-standard,No,0.933477627,,Empty,Yes,Yes,Yes,Yes,20656,0,17119,1,Yes,,
https://www.oqrnxynxwh.com,0,6413,3095,No,Yes,46,No,No,Yes,Yes,,Missing,USA,Yes,,Yes,0.330891691,0.833361864,,No,No,Yes,Yes,28122,4,16167,2,Yes,3,4042
,1,4911,2236,Yes,No,65,Yes,Yes,No,No,3,Invalid,Russia,No,Non-standard,Yes,0.813771731,0.796269763,Different Domain,Yes,Yes,No,No,80555,5,15838,2,No,1,936
https://www.kvmqcjtcrf.com,0,3342,3353,No,Yes,40,No,No,Yes,Yes,,Valid,USA,Yes,Standard,Yes,0.10375133,0.267922074,Same Domain,No,No,No,No,29220,6,7163,3,Yes,0,4903
https://www.dcobwkvywk.com,1,4551,700,Yes,No,21,Yes,Yes,Yes,,3,Invalid,Russia,No,Non-standard,No,0.662002224,0.765318044,Different Domain,Yes,No,No,No,81795,,18187,3,Yes,2,1839
https://www.cffkavmdry.com,1,,310,Yes,Yes,67,No,Yes,Yes,No,4,Valid,Brazil,No,Non-standard,Yes,0.77910886,0.632603435,Empty,Yes,No,No,Yes,75213,1,5939,2,Yes,4,1056
https://www.aqqoihtsqu.com,0,1275,2555,Yes,No,76,No,Yes,Yes,No,1,Valid,,No,Non-standard,Yes,0.542921781,0.526235653,Same Domain,Yes,Yes,No,No,1721,2,887,0,Yes,0,1985
https://www.agkrwedgsn.com,1,1016,-83,No,Yes,35,Yes,Yes,No,No,1,Invalid,Brazil,Yes,Non-standard,Yes,0.766845921,0.963583784,Empty,Yes,No,Yes,No,51639,8,19897,2,Yes,1,
https://www.sfgjficqjq.com,1,6439,716,No,Yes,,Yes,Yes,No,Yes,2,Missing,Brazil,No,,Yes,0.723665223,0.598032295,Same Domain,Yes,No,Yes,No,67148,,16647,0,No,,
https://www.vmuvmpfsiz.com,0,6863,3520,No,No,21,Yes,Yes,No,,3,Invalid,Canada,Yes,Non-standard,No,0.476980734,0.868737855,Different Domain,Yes,No,No,Yes,92459,1,2719,3,No,3,3013
https://www.hnxniniirk.com,0,337,2516,No,No,,No,Yes,No,Yes,2,Invalid,Canada,No,Non-standard,No,0.865519071,0.752338139,Empty,Yes,Yes,Yes,Yes,68798,5,7931,1,Yes,2,4819
https://www.aytxlgohta.com,1,878,2219,No,Yes,25,Yes,No,No,Yes,3,Invalid,Brazil,No,Standard,No,0.341629318,0.045084198,Different Domain,No,No,No,Yes,13857,1,,4,No,1,4322
https://www.krrstahxek.com,1,1076,2779,No,Yes,62,Yes,No,No,No,2,Valid,Brazil,No,Standard,Yes,0.425408907,0.266932077,Empty,Yes,No,No,Yes,96900,6,8049,1,No,4,3722
,0,4887,1543,No,No,81,No,Yes,No,Yes,0,Valid,China,Yes,Non-standard,,0.539861016,0.609162031,Same Domain,Yes,Yes,Yes,Yes,89861,0,15242,1,Yes,1,4363
https://www.vgugzueapm.com,1,3993,2605,Yes,Yes,58,No,,No,No,4,Missing,USA,No,Non-standard,Yes,0.130698655,0.438295692,Empty,No,Yes,No,Yes,13670,8,10830,0,No,2,2855
https://www.nkmvbhpszh.com,0,6360,787,No,Yes,58,No,No,Yes,Yes,3,Missing,China,Yes,Non-standard,No,0.515317681,0.955493853,Empty,No,No,No,No,57074,7,8577,3,Yes,4,1673
https://www.xhhzoqgenh.com,0,4859,3305,Yes,No,16,No,No,Yes,Yes,3,Invalid,China,No,Standard,No,0.324116058,0.583618045,Empty,No,No,No,No,94574,3,3521,2,Yes,4,1803
https://www.gbmbylhsab.com,1,6331,2524,Yes,,24,No,Yes,No,No,3,Missing,China,No,Standard,No,0.256665553,0.929084382,Same Domain,No,Yes,No,No,26689,9,4490,2,No,4,909
https://www.yhpobbirmm.com,1,379,3132,No,,45,No,No,Yes,No,4,Invalid,China,Yes,Standard,Yes,0.576834988,0.205889401,Same Domain,Yes,Yes,Yes,Yes,,8,2171,4,Yes,0,4284
https://www.lrhqclvhzh.com,0,492,582,No,No,81,No,Yes,Yes,No,0,Valid,China,Yes,Standard,No,0.32960298,,Same Domain,No,No,Yes,No,57035,8,8986,2,No,4,4316
,1,7208,299,Yes,,83,No,Yes,Yes,Yes,1,Invalid,China,Yes,Standard,No,0.855507701,0.537141646,Same Domain,Yes,Yes,Yes,No,77205,9,10590,0,No,3,130
https://www.pdqandeirm.com,0,5276,1352,Yes,No,24,,Yes,No,Yes,4,Invalid,Brazil,No,Standard,No,0.40997935,0.214075731,Different Domain,No,No,No,Yes,34435,,4202,3,No,2,2403
https://www.ixmgyeepfi.com,0,2062,783,No,No,71,,Yes,,No,0,Invalid,China,No,Non-standard,No,0.413037619,0.390228438,Same Domain,Yes,No,Yes,No,91496,1,13639,4,Yes,2,1726
https://www.onljfpulpq.com,1,3884,-299,Yes,Yes,27,No,Yes,Yes,Yes,2,Invalid,Canada,No,Standard,No,0.981942115,,Same Domain,Yes,No,Yes,No,59278,2,12074,1,,3,1499
https://www.yujsglaeid.com,1,64,1688,Yes,Yes,55,No,Yes,No,No,3,Missing,USA,Yes,Standard,No,0.341526964,0.959479271,Different Domain,No,Yes,No,Yes,,7,2438,4,Yes,0,3693
https://www.ntsnborfna.com,1,2568,271,Yes,No,70,No,,No,No,,Invalid,Canada,No,Non-standard,No,0.13148595,0.021979207,Same Domain,Yes,No,Yes,Yes,29267,1,2200,2,No,4,4905
https://www.cdjrvmnooq.com,1,5463,-52,Yes,No,52,,No,No,No,1,Valid,Russia,Yes,Non-standard,Yes,0.876583271,0.307409414,,No,Yes,Yes,No,69630,3,7952,3,Yes,2,4907
https://www.fxrjecscie.com,0,5248,,No,Yes,53,No,,Yes,Yes,2,Invalid,Canada,No,Standard,No,0.916998354,0.899335044,Empty,Yes,No,Yes,No,62750,4,1593,2,No,2,1092
https://www.fewttnivjb.com,1,2027,199,No,No,75,Yes,Yes,Yes,No,0,Valid,Russia,Yes,Non-standard,Yes,0.226450035,0.032519473,Empty,Yes,No,No,,28010,,5331,1,Yes,2,3807
https://www.dbmxiqnmtu.com,1,2695,1236,Yes,,64,No,No,No,No,2,Missing,Brazil,Yes,Standard,Yes,0.882077048,0.95693558,Different Domain,No,Yes,,Yes,93207,8,16787,2,,4,276
https://www.djbzohffbb.com,0,,460,Yes,No,95,No,No,No,No,2,Invalid,,No,Non-standard,Yes,0.494556835,0.38798139,Different Domain,Yes,Yes,,Yes,82224,5,321,2,,1,2690
https://www.hqmfpzkvup.com,1,7230,2188,Yes,No,88,Yes,Yes,No,Yes,1,,,Yes,Non-standard,Yes,0.043431647,0.114809887,Different Domain,Yes,Yes,No,No,48697,6,1601,,Yes,0,2304
