Phishing attack,Age_Link_Meta,RegLen_PageRank,URLLen_ContentLen,Subdomain_URLLen,RespTime_Link_Meta,RespTime_Traffic,Subdomain_Age
1,3049.460356,-1640,1210391,91,481.2990964,86616969,5772
1,1630.047935,12368,363671,77,1900.724121,210419080,2993
1,5240.648709,10328,346551,71,351.2397881,32476995,6938
1,1097.277809,0,363720,80,2609.953646,353527119,6160
0,4492.256454,2442,730752,0,793.6453076,76476256,0
0,1037.051107,3614,4592,0,530.3015919,14224542,0
1,240.4592651,2754,117936,13,1505.463595,69965016,510
1,506.3620811,4672,536305,154,598.2959516,157391612,8372
0,2976.906042,1416,275652,76,2555.755796,293183438,9698
1,1703.539787,-770,234692,276,749.2074817,129650118,19857
1,3510.838066,6295,337029,21,1360.848648,192385940,6491
0,927.9969182,6944,24768,72,1346.838114,73157128,4593
1,2946.467755,3258,1222080,304,3856.960552,247102125,13760
1,716.2119675,3084,377234,44,1881.470563,139544128,1646
0,4799.60368,8729,486260,41,139.8237931,17278888,6316
0,1394.863795,0,230608,174,760.0677079,19546332,12894
1,5224.159017,7704,134932,42,1689.622997,10588578,18570
1,2506.874848,1296,90212,57,1106.967557,158600530,10911
0,4218.481543,0,516010,220,3308.355044,63615416,20524
1,1176.132736,9756,808535,182,1226.550843,129282875,2706
1,1461.511362,4866,66079,0,1743.260157,158814903,0
0,372.7067276,6990,55304,0,1812.125813,31703568,0
1,3086.79331,14925,60724,38,2107.231634,330431500,5127
0,3559.491965,5604,763000,0,5.741958002,772299,0
1,3003.473524,4160,858320,80,3309.921122,127129780,4185
0,2487.144277,19760,1274490,0,1503.159328,137368518,0
0,2463.837965,30591,834190,255,68.4950925,2780976,14892
0,1482.906078,11355,313462,0,398.715144,40543160,0
1,1790.197426,8512,619836,168,1079.865639,190980720,28408
0,1533.902518,0,335995,110,1338.128118,20852013,10640
1,1479.035901,23849,1461152,154,1978.596415,143625420,3162
1,85.51218603,-200,602706,0,1268.263088,86774208,0
0,402.6034109,741,310272,64,945.6209743,428879814,3888
0,457.6090834,6880,1403017,154,86.89571392,2955001,10248
1,209.7398758,12916,995836,0,281.4929912,193019904,0
1,1282.875348,11696,458421,82,1880.146544,264206870,4386
0,4768.696434,18534,193743,198,1611.395726,24707221,11796
0,3418.544685,1995,500841,99,3160.359994,16856061,16008
1,5506.157742,3445,1249548,0,3614.156624,228324525,0
1,1256.0527,8490,22069,29,1041.021939,348939825,4784
1,2262.296369,10377,771210,66,481.9756096,67367412,7266
0,29.15219262,0,184467,102,267.2284324,384369150,1020
1,4337.787244,2690,138984,0,4322.741808,241503395,0
1,1185.855888,26968,100310,56,1797.465123,185325472,5840
0,3399.622734,463,268512,0,1343.165564,67256200,0
1,4681.900579,14970,636984,162,1801.248722,20849058,16695
1,3317.831059,13356,522668,82,3191.513987,376684038,4544
1,6302.735849,6564,167616,64,713.9443841,24815660,28956
0,1006.18981,11152,35700,0,3208.222663,283675872,0
1,255.2766099,14464,491606,76,1889.573257,231445864,776
0,2624.570602,13398,1190028,62,766.5439985,76971199,3037
1,3184.378214,8445,110722,46,3199.479,298004730,3374
0,2003.355958,8736,1352724,0,1555.99276,16210382,0
1,2430.598696,5910,163163,0,1641.551356,201097164,0
1,2869.377617,0,166280,40,1446.204113,198949413,4859
0,647.3205538,15912,940800,210,836.0210608,100035486,3993
0,3563.144814,25384,46425,30,1286.964598,137235723,8688
1,4109.952676,6940,175700,0,1334.422687,76797032,0
0,6608.848548,1266,141850,25,2548.577688,8107260,7043
1,3378.093198,466,523900,156,3324.580777,193771236,10416
0,3996.920966,5084,1462846,98,1822.803293,137434428,4164
1,5232.042114,12870,155064,234,3544.041438,409295637,18588
1,3009.093981,10272,946904,222,1714.48378,42901950,12900
1,3787.986609,-1410,59930,260,2123.596649,14284864,16168
1,1554.872555,-855,376732,152,3808.050938,223671888,7624
1,5277.249477,5000,955875,225,688.6311437,2658524,18714
0,2411.98188,27976,136296,48,3165.332388,406654908,6890
1,48.02112891,-1944,127452,258,15.01455541,36342230,5661
1,1023.619866,2391,100300,20,309.4323664,23876760,8376
0,447.6016222,17610,560496,192,3221.264133,26429117,2684
1,748.6036577,5960,1053080,140,58.1698119,14579982,3938
0,2182.818999,25312,392834,78,1795.159887,240602544,15372
1,2976.139743,0,415112,0,1123.845786,202630611,0
1,742.312364,6860,28314,13,118.7952538,27631488,4699
1,5596.223976,58,1374186,282,3442.218342,119891544,20031
1,203.7709446,1351,1303841,154,859.1107704,158618880,1046
1,365.490873,3983,548800,0,106.1496685,17285345,0
1,1277.561445,4345,685080,270,939.8853758,210779835,15720
1,3572.432569,3406,1055240,222,567.803852,25482144,19479
0,2638.608958,15930,168490,174,229.2781136,2796480,12429
1,281.6098237,930,607920,170,663.6369435,281852124,2552
1,1029.069807,25,200640,96,1397.019929,340101615,11064
1,2211.787147,-123,190505,105,65.44701236,5735952,12369
1,2007.449516,0,1711364,0,437.3878239,17978753,0
1,5074.472161,14400,239382,72,2433.291567,107099976,20504
1,203.723853,240,205612,132,555.1041803,375233040,4938
1,227.560214,2304,1454435,340,286.4517007,120379244,8300
0,4531.173414,14945,62135,17,2897.558572,241658079,6288
0,2283.743339,15228,217040,0,1168.653308,68202960,0
1,363.7328182,8190,1150390,0,50.41993707,1351164,0
0,3410.984256,15648,1123088,136,2185.881073,73067136,13782
1,8.734230021,604,580818,84,7.914698398,35135192,5478
1,793.2185339,12372,1502176,368,692.320776,133980290,7044
1,1642.144473,380,361675,74,1572.134253,201209154,6896
0,1704.781557,17184,1440200,285,484.2297984,65399880,7689
1,2261.428851,756,609960,69,1121.751733,4049734,2397
0,2990.834393,5400,1490075,380,109.1659777,17329653,22904
1,38.143735,13937,459690,70,58.717429,168286038,2870
0,3933.231335,19086,322524,153,61.43928527,10047290,21126
1,1083.479875,17487,535743,228,992.7018313,90639108,10360
1,2213.269694,12060,542184,82,1238.80127,228965230,5342
1,425.6377161,15705,560928,64,1968.688366,181530720,934
1,3722.069805,0,431080,0,642.5544734,25717824,0
0,3639.739144,6116,376560,192,2153.932276,20169150,26868
1,2845.88412,7308,799365,207,2561.347348,175519520,16533
0,1494.660022,19726,237100,75,988.6004158,299259624,16587
1,4965.338662,665,1427775,225,633.9184335,83477790,20937
1,36.90801634,2416,223861,47,59.87981074,50694714,723
0,659.1095199,27528,74816,56,271.4905996,43504280,25132
1,3107.743168,18441,955353,147,2007.946649,78320322,13962
0,295.8115872,6265,306243,84,18.89442074,14487468,17660
1,1749.555942,13218,170601,57,826.288701,32985800,6657
1,4689.782063,962,1418256,168,177.8400527,5015595,14082
0,1967.568577,4893,219518,0,1969.68823,53628876,0
1,2401.844849,1248,1281852,198,3223.662526,315756672,8496
1,1923.729743,19800,391264,0,524.8289771,4764352,0
1,641.2735318,10806,402934,0,334.4817293,74928744,0
0,5966.194498,5856,369120,48,4087.965182,208538262,12922
1,1256.215632,680,734825,340,1361.043947,354661632,14572
0,861.123786,2858,49842,312,32.99213968,21215172,23804
1,715.9668305,2248,340340,136,2049.372946,169126464,3488
0,2889.722907,31320,1690128,291,2868.139914,186638192,14460
0,23.11828413,11634,1400802,78,6.43889638,47585050,2621
1,2307.215102,2976,96899,69,1079.522663,165556710,10791
1,1034.616186,-780,274235,195,550.6131076,70615145,20829
1,5315.406424,2076,334478,0,1368.322446,30790110,0
0,859.818949,17320,167208,24,1.337719096,292552,5142
1,2636.807515,0,125019,261,2731.780935,176291752,9162
1,2403.516674,25347,17220,20,1829.604807,48226630,4033
1,689.9871673,1939,475261,31,652.9333406,168169800,3687
1,619.5598825,5152,409425,75,1867.957582,87171696,1202
0,5613.518047,26528,113139,0,1713.775189,113690815,0
0,103.8664145,857,210912,156,503.3352929,30480696,2766
0,4247.561689,1008,91776,96,3232.510655,303330198,21492
1,930.5312422,-1070,69042,111,1081.104918,35447055,7935
0,1817.381496,10768,7740,135,1843.692113,97084196,5595
1,510.4562089,585,477090,81,251.5894146,237285840,4910
0,2376.755667,7016,440586,82,2946.646895,196326114,3228
1,2221.144377,8601,131535,237,568.9917346,2233100,8022
1,1745.701155,1356,425216,22,530.9371934,128201318,4807
0,1505.685552,-1506,205127,52,2183.644662,205912074,9772
1,772.4576402,2295,291109,49,0.785017927,15321,984
1,2428.37543,24462,201194,14,1744.955292,117473409,2935
1,1223.942173,3885,955731,0,564.6277954,177406715,0
0,3527.118834,3800,1396934,94,3079.864592,127580175,3533
1,4310.761817,18396,277338,34,2344.077937,271173616,6922
1,1177.131971,1242,1094409,138,2637.634312,96617432,3290
1,2898.534568,7511,1153518,172,3792.060686,190251422,6144
1,158.8166944,15730,310230,81,3063.344897,340989904,201
1,3830.781477,19656,1477256,88,271.7623787,11405574,6456
1,3233.358348,1608,1066816,316,3494.510424,326380932,13124
1,2078.600393,-1134,1368123,186,1320.488638,91564619,7200
1,3393.469699,2556,1111320,196,2457.030911,64076544,10596
1,1136.73145,6937,929201,182,4610.129957,27528471,2410
1,4084.007064,511,434808,216,753.4688384,33401754,14277
1,697.0688366,14584,511890,30,15.88258109,4809744,6320
0,1967.643912,5257,725440,64,363.4320645,7825152,4158
0,4879.71601,2626,17464,74,2900.060284,129176937,5588
1,471.066439,-858,354292,0,547.6147353,278847387,0
1,23.48967412,17930,164145,31,57.56605173,75961275,1724
1,169.023039,2691,197892,24,183.9300913,376283964,8844
0,56.5255582,4606,540960,210,228.4455572,305878419,2967
0,1245.335962,12591,370006,182,194.6778216,20808440,4964
1,352.2009925,6192,167475,60,1603.929174,30042456,2888
1,94.32978478,13436,563010,70,107.0715868,58114885,4664
1,428.4058798,-1824,8390,20,516.1330898,267514705,6114
0,580.4162954,182,1131306,244,88.96444275,9425435,3784
0,1930.544516,6240,759620,38,1513.220202,115525140,3451
0,668.3140939,6174,312438,86,832.4081033,165273160,6158
0,1621.126545,20853,605728,64,167.5433707,24789200,5612
0,1360.24967,15915,342440,168,99.18255008,35846530,18309
0,156.4592754,803,530856,36,1822.008931,302206688,327
0,2534.076989,7248,48300,300,2474.77614,144855629,14700
0,1912.835797,2887,257961,66,1247.038661,20758166,6108
1,1678.988749,1757,162939,21,2630.128432,139204719,2143
1,4552.96727,3150,1386488,213,1672.104553,109775575,20871
1,3292.445432,-1500,667184,0,2911.887574,9100993,0
0,3305.736601,-1120,605572,88,453.2481629,64355025,11334
1,295.3896163,5736,232314,279,297.1962806,58750188,3924
1,1280.330703,-1404,1829522,188,2329.268306,108356353,3840
0,3862.877153,13448,1365165,69,2277.865042,292387986,6958
1,692.2318444,9450,560604,132,57.98906578,47666108,27408
0,4978.170764,28504,582000,0,2439.179942,84029069,0
1,2122.243742,14949,362052,108,1295.965771,77707668,9570
0,453.1242788,14268,1124442,324,839.5183583,18510425,6220
0,3997.01199,23373,1128999,171,782.6753646,114656982,19212
1,2618.457125,13416,891708,304,1066.759433,130453554,20000
1,4465.946581,4946,104015,213,3225.240071,144414138,17958
1,1325.79725,5490,27550,0,422.614756,21044388,0
1,770.5572748,4755,634788,132,413.2798442,85543440,10292
0,527.2654178,0,302224,52,1014.690237,191771130,5082
1,235.1830483,1924,201344,26,787.6765584,18886399,882
1,644.0333736,18872,422874,123,428.8468672,160712892,11394
1,6748.388431,16320,194168,208,1240.249586,104200128,27924
1,3443.729319,23471,786626,246,634.5097598,21639390,11772
1,915.0325959,0,1130025,228,527.8250386,188493984,28736
1,1943.266617,922,903904,188,644.6323204,7045120,4148
1,1135.32361,25326,1820709,396,820.2232015,103142611,24544
1,1.651752466,12340,414100,164,0.391738634,120035528,23764
1,373.0497133,10089,296148,58,25.79071448,19645236,9778
0,731.7605465,16974,828864,96,654.3277131,185724594,10830
1,177.3204374,3344,1872388,98,218.3311029,104783158,2711
0,746.717575,4290,613686,69,56.77700086,23396076,4853
0,1025.071252,5718,663884,104,887.1927687,139029675,3524
1,3.333375695,7035,178514,56,0.30492418,1188132,1924
1,128.4734923,22752,1536860,184,3.422449589,14701986,12688
0,2676.303711,0,27918,22,700.2065439,113504226,5760
1,13.75192788,3858,334768,0,28.19145215,5919252,0
1,3701.024136,-1188,45570,60,301.2665174,16758992,16904
0,903.2354694,16009,70020,18,3058.880503,121234320,1252
0,29.68687087,14063,1503500,0,243.3976197,5979530,0
0,2225.485697,14630,1074125,260,1683.413538,42284340,20544
1,63.31011962,9960,306269,177,37.08890864,37649088,12321
1,2093.962575,1113,430384,111,221.8856282,13567748,9456
1,234.0252992,21368,763092,264,270.2745711,66091848,9684
1,686.3272506,3408,248611,194,386.2405825,28579572,1418
1,4055.930095,6498,659925,0,1618.935329,191758858,0
1,2672.005112,1020,58896,96,1587.592521,62432613,10270
1,3269.763489,9948,823653,69,228.5713388,41093964,7124
1,2668.15585,21660,239204,56,1283.993088,33443790,5860
1,2684.732067,747,648324,368,1441.212184,54749591,12168
1,2400.728136,0,718449,284,2393.788072,309010376,17988
1,2865.699192,-7,1504230,0,682.9420366,31680390,0
0,4284.607498,13324,276984,288,1947.250216,193983365,20868
1,910.5925366,0,24576,144,455.8126724,57752880,15870
0,196.1160071,6826,418119,71,2596.322881,2938464,310
1,3038.124244,4800,11916,24,316.8423309,8735948,6482
1,4572.284513,23526,726104,136,636.7116019,68690215,10786
1,115.1256097,1184,1387050,70,278.6923594,62869739,2032
1,166.2695949,670,650325,117,120.2388213,217996001,10533
1,1208.30122,3159,300833,73,3527.243814,360759384,1262
1,768.1377079,20547,175377,106,44.22578117,8201864,14138
0,1685.954808,27080,274939,147,856.2487684,155335882,10290
1,3074.440184,0,568653,148,105.4093777,204600,14000
1,586.1097921,-651,448602,0,2478.263378,380444832,0
1,145.0635094,2816,1311108,68,1004.999993,208912974,375
0,4300.523887,1386,1519281,261,563.3370969,81345098,21276
1,1168.351042,1624,696094,98,2032.470631,119033760,3656
0,4897.60518,1456,425049,228,2004.038406,145968360,20724
0,549.0942538,8336,1107840,160,42.08180741,33815807,9734
1,6068.650485,10170,413088,26,4523.523917,269890004,6402
1,36.52613556,14940,242770,0,2915.888293,343789905,0
1,497.3047266,12270,338734,88,2432.048557,396325008,3396
0,2712.080916,17088,755559,67,2035.660043,341608383,6359
0,2980.096891,23121,569392,38,745.5354236,28174465,7287
1,775.550264,9185,925416,216,365.9985975,47843478,6090
0,1711.405945,22648,441932,0,267.1512869,45967581,0
1,18.78829924,17256,485784,0,2071.409991,5882058,0
0,899.0032338,3339,516336,186,913.2920269,198524144,6040
1,2496.895289,1598,445508,84,2638.955869,30713208,9333
0,4702.383964,12524,183136,118,1016.252605,27897024,12734
0,187.1940485,-312,159885,114,1615.655888,120726000,634
1,194.9546827,-1274,40152,36,158.0141877,49390886,7188
1,1902.622259,6610,989850,300,2331.196283,234613983,8648
1,5766.485932,26631,530748,36,1824.849516,47709860,5985
0,1666.859191,31356,399140,40,1008.257056,143832920,12366
0,1913.493174,0,490252,56,4087.742934,354500432,3992
1,939.2902242,-285,80080,48,1968.070752,88427083,3936
0,1136.195705,10003,838860,66,4308.701688,6407995,1285
1,97.59735209,0,1571868,188,217.0327857,3067855,724
0,1419.894755,0,256447,0,2722.292392,48665680,0
0,1886.998682,2145,524004,117,1242.883173,10631418,12858
1,3710.828728,4905,127296,32,969.0391767,138403474,12300
0,3252.294125,18100,505359,0,228.5311837,37330209,0
1,1345.203251,12240,48564,152,383.8337079,128198910,18084
0,578.2561291,24808,82704,36,3393.812758,156806538,1764
1,1399.822496,-608,1472560,79,1312.955683,39102999,1547
1,1545.028006,17192,14516,57,689.9563583,87518480,16029
0,2873.793282,5838,171045,42,2564.009983,920511,6234
0,201.0605253,25686,914775,300,366.0729208,51576674,6760
1,802.0911106,0,581048,148,314.5349428,113694760,8910
1,3955.845348,27990,312821,124,1946.314813,5904488,26032
1,983.3938883,9264,94380,120,589.0975321,141560988,10056
1,4965.119853,5996,63075,0,3890.828226,193737636,0
1,1245.654331,17105,498984,51,442.0616471,128543856,5089
1,2190.001514,448,622061,106,1496.153127,73529694,9652
0,2226.5103,3381,26226,72,2355.593474,68023024,12764
1,2938.909326,7863,1146528,0,3650.302643,325361140,0
1,354.8033994,84,505034,46,2119.507971,335259352,762
1,539.2672235,19017,248625,0,889.8504406,114406370,0
1,1837.938141,9928,534800,100,350.6743689,57725528,7998
1,431.0835571,480,1301714,0,122.0971464,82513792,0
1,471.2012832,5672,640136,56,1945.192093,150231664,515
0,3263.773926,5409,257122,177,1740.28879,122122242,10026
0,396.7326298,0,191889,162,1566.33511,54421590,2196
0,510.1730982,-1536,583424,256,949.5432377,136547892,7292
1,196.8044042,9784,845824,168,207.2395553,15519605,9279
1,2564.597882,0,159030,0,3039.261026,5909904,0
1,859.9203095,10092,462016,32,556.3575764,107374823,4116
0,405.9213267,2742,325490,22,69.44749178,39118434,5506
1,2885.147477,0,506236,304,998.2053652,69563400,18660
1,350.1234173,13770,134540,280,219.633312,84108838,15852
1,701.6691345,3980,1363058,213,16.66447259,4259367,15537
1,1532.631531,13136,144340,70,533.054791,116538699,11610
0,2830.17227,16190,798762,328,626.1008663,63019954,25368
1,73.22391717,0,121770,165,362.6393616,11381245,1578
0,173.6861604,5300,777600,0,185.1727285,94170410,0
1,1741.117986,19656,1024417,194,865.1272579,75294828,3526
0,4935.391409,2577,74492,44,1997.313825,149125836,5797
1,552.3245018,0,81090,102,1524.339834,74506354,1166
1,3236.760024,2562,577690,41,4071.584349,9339400,3788
0,517.000165,1653,384748,84,469.2331711,366324520,12501
1,2426.439572,525,18941,31,2245.399521,69954048,3860
0,2467.882339,0,326165,70,980.3611098,128524824,8866
0,5261.618272,-780,480843,27,2915.247172,81792711,5420
0,0.014621417,7525,1563566,344,46.73004873,237501152,4
1,3614.427629,29394,190671,39,2104.841015,128870310,4044
1,4208.002373,12294,906300,0,679.0353725,66305490,0
